CustomerKey,GeographyKey,CustomerLabel,Title,FirstName,MiddleName,LastName,NameStyle,BirthDate,MaritalStatus,Suffix,Gender,EmailAddress,YearlyIncome,TotalChildren,NumberChildrenAtHome,Education,Occupation,HouseOwnerFlag,NumberCarsOwned,AddressLine1,AddressLine2,Phone,DateFirstPurchase,CustomerType,CompanyName,ETLLoadID,LoadDate,UpdateDate
1199,660,12198,,Noah,,Scott,False,1953-02-14,M,,M,noah42@adventure-works.com,60000,3,0,Graduate Degree,Management,1,2,1305 Willbrook Court,,208-555-0130,2002-06-17,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1200,566,12199,,Christina,,Richardson,False,1952-05-08,S,,F,christina7@adventure-works.com,40000,3,0,Partial College,Professional,0,2,5279 East L Street,,474-555-0152,2003-12-18,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1201,469,12200,,Rafael,B,Sharma,False,1937-07-23,M,,M,rafael33@adventure-works.com,70000,4,0,Graduate Degree,Management,1,2,1693 C Northwood Dr,,717-555-0111,2002-06-22,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1202,445,12201,,Mindy,D,Yuan,False,1938-08-06,M,,F,mindy11@adventure-works.com,100000,2,3,Graduate Degree,Management,1,3,66, avenue du Québec,,335-555-0116,2003-12-13,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1203,550,12202,,Xavier,A,Ross,False,1938-05-25,M,,M,xavier45@adventure-works.com,100000,2,3,Graduate Degree,Management,1,3,8818 Gentrytown Dr.,,982-555-0113,2003-08-09,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1204,675,12203,,Zachary,,Hughes,False,1938-03-06,M,,M,zachary10@adventure-works.com,120000,2,4,Graduate Degree,Management,1,3,7600 Showtime Court,,136-555-0183,2004-01-04,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1205,580,12204,,Bradley,,Jai,False,1938-02-02,M,,M,bradley13@adventure-works.com,120000,2,4,Graduate Degree,Management,1,3,9847 Galloway Dr.,,598-555-0176,2003-08-01,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1206,443,12205,,Madison,J,Long,False,1938-10-02,S,,F,madison45@adventure-works.com,130000,2,3,Bachelors,Management,0,4,4643 Elkwood Dr.,,705-555-0113,2004-04-28,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1207,652,12206,,Sierra,J,Parker,False,1939-04-12,M,,F,sierra7@adventure-works.com,90000,5,0,Bachelors,Management,1,2,9593 Power Ave.,,220-555-0129,2002-06-30,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1208,495,12207,,Samuel,J,Hill,False,1940-06-20,S,,M,samuel42@adventure-works.com,80000,4,0,Bachelors,Management,1,2,1637 Kingston Pl.,,125-555-0172,2002-06-27,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1209,583,12208,,Dominique,A,Sanchez,False,1940-02-19,M,,F,dominique17@adventure-works.com,130000,2,3,Bachelors,Management,1,4,3043 Gregory Dr.,,230-555-0175,2002-06-18,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1210,582,12209,,Mindy,,Jai,False,1940-06-26,M,,F,mindy16@adventure-works.com,130000,2,3,Bachelors,Management,1,4,7559 Worth Ct.,,520-555-0110,2002-06-19,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1211,506,12210,,Alan,A,He,False,1978-09-25,M,,M,alan22@adventure-works.com,10000,0,0,Graduate Degree,Manual,0,0,1374 Wightman Lane,,1 (11) 500 555-0116,2002-09-16,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1212,681,12211,,Victor,C,Romero,False,1974-02-27,M,,M,victor10@adventure-works.com,10000,0,0,Graduate Degree,Manual,1,0,3355, rue de Longchamp,,1 (11) 500 555-0198,2001-09-07,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1213,564,12212,,Shawna,J,Xie,False,1969-05-19,M,,F,shawna3@adventure-works.com,10000,0,0,Graduate Degree,Manual,1,0,71, avenue Reille,,1 (11) 500 555-0134,2001-09-27,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1214,765,12213,,Alejandro,,Lal,False,1963-02-02,M,,M,alejandro35@adventure-works.com,10000,1,0,Graduate Degree,Manual,1,0,Reiherweg 5,,1 (11) 500 555-0117,2002-11-10,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1215,501,12214,,Julie,H,Raje,False,1962-09-20,M,,F,julie19@adventure-works.com,20000,1,0,Graduate Degree,Manual,1,0,3886 Delta View Ln.,,1 (11) 500 555-0159,2002-09-08,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1216,506,12215,,Karla,T,She,False,1962-12-14,M,,F,karla0@adventure-works.com,20000,1,0,Graduate Degree,Clerical,1,0,2846 Veronica Ct.,,1 (11) 500 555-0122,2002-09-11,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1217,654,12216,,Gerald,,Rodriguez,False,1962-04-02,M,,M,gerald5@adventure-works.com,20000,1,0,Graduate Degree,Clerical,1,0,2608 Elm Rd.,,1 (11) 500 555-0120,2002-09-26,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1218,564,12217,,Kyle,,Roberts,False,1961-07-03,M,,M,kyle34@adventure-works.com,10000,1,0,Bachelors,Manual,1,0,611bis, rue des Peupliers,,1 (11) 500 555-0169,2001-09-23,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1219,586,12218,,Mitchell,J,Xu,False,1961-11-26,M,,M,mitchell4@adventure-works.com,10000,1,0,Bachelors,Manual,1,0,Celler Weg 4030,,1 (11) 500 555-0136,2002-11-26,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1220,539,12219,,Kurt,,Nara,False,1961-04-14,M,,M,kurt17@adventure-works.com,10000,1,0,Bachelors,Manual,1,0,1584 S. Forest Hill,,1 (11) 500 555-0187,2001-09-24,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1221,530,12220,,Virginia,C,Sara,False,1961-01-16,M,,F,virginia12@adventure-works.com,10000,1,0,Bachelors,Manual,1,0,470, rue de Linois,,1 (11) 500 555-0186,2001-09-09,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1222,543,12221,,Brandi,,Ruiz,False,1961-01-09,M,,F,brandi2@adventure-works.com,20000,1,0,Graduate Degree,Clerical,1,0,11, rue Saint Denis,,1 (11) 500 555-0113,2001-09-02,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1223,506,12222,,Jenny,K,Xu,False,1961-03-20,M,,F,jenny14@adventure-works.com,20000,1,0,Graduate Degree,Clerical,1,0,3156 Crystal Avenue,,1 (11) 500 555-0158,2002-09-14,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1224,483,12223,,Felicia,,Vazquez,False,1961-02-19,M,,F,felicia14@adventure-works.com,20000,1,0,Graduate Degree,Clerical,1,0,Postfach 8 22 99,,1 (11) 500 555-0174,2004-02-09,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1225,501,12224,,Tristan,,Henderson,False,1935-09-18,M,,M,tristan5@adventure-works.com,20000,1,0,Graduate Degree,Clerical,1,0,3431 Wilton Pl.,,1 (11) 500 555-0157,2004-05-18,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1226,533,12225,,Kathleen,G,Ortega,False,1958-11-02,M,,F,kathleen21@adventure-works.com,20000,1,0,Graduate Degree,Clerical,1,0,Celler Weg 504,,1 (11) 500 555-0178,2002-11-20,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1227,639,12226,,Faith,A,Ward,False,1957-04-10,M,,F,faith31@adventure-works.com,10000,1,0,Bachelors,Clerical,1,0,Am Gallberg 24,,1 (11) 500 555-0185,2002-11-20,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1228,497,12227,,Kelsey,W,Raje,False,1957-08-11,M,,F,kelsey13@adventure-works.com,10000,1,0,Partial College,Manual,1,0,8031 Pinon Dr.,,1 (11) 500 555-0135,2003-10-31,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1229,586,12228,,Mayra,D,Martinez,False,1957-08-26,M,,F,mayra17@adventure-works.com,20000,1,0,Bachelors,Clerical,1,0,Husemann Straße 9574,,1 (11) 500 555-0147,2002-12-24,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1230,513,12229,,Kari,,Gomez,False,1956-11-17,M,,F,kari22@adventure-works.com,10000,2,0,Partial College,Manual,1,0,Pappelallee 123,,1 (11) 500 555-0146,2002-12-09,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1231,662,12230,,Wesley,,Zheng,False,1956-02-12,M,,M,wesley19@adventure-works.com,10000,2,0,Partial College,Manual,1,0,Krönerweg 49,,1 (11) 500 555-0126,2002-12-22,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1232,696,12231,,Isabelle,C,Patterson,False,1955-03-19,S,,F,isabelle9@adventure-works.com,10000,2,0,Partial College,Manual,1,0,Wasserstr 6999,,1 (11) 500 555-0155,2002-12-17,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1233,674,12232,,Sean,E,Hernandez,False,1955-04-14,S,,M,sean51@adventure-works.com,10000,2,0,Partial College,Manual,1,0,Holzstr 7555,,1 (11) 500 555-0119,2002-12-05,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1234,506,12233,,Jerry,D,Yuan,False,1955-05-09,M,,M,jerry7@adventure-works.com,10000,2,0,Partial College,Manual,1,1,136 Balboa Court,,1 (11) 500 555-0163,2004-07-20,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1235,503,12234,,Clarence,L,Zeng,False,1954-02-25,M,,M,clarence15@adventure-works.com,10000,2,0,Partial College,Manual,1,1,790, quai de Grenelle,,1 (11) 500 555-0126,2003-10-28,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1236,449,12235,,Donna,,Rai,False,1938-05-26,M,,F,donna15@adventure-works.com,30000,1,0,Graduate Degree,Clerical,1,0,2957 Tri-state Avenue,,1 (11) 500 555-0127,2003-09-24,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1237,662,12236,,Kendra,H,Gill,False,1941-06-06,M,,F,kendra13@adventure-works.com,20000,1,0,Partial College,Manual,1,0,Potsdamer Straße 929,,1 (11) 500 555-0193,2004-01-14,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1238,641,12237,,Ruth,,Madan,False,1941-05-11,M,,F,ruth12@adventure-works.com,20000,1,0,Partial College,Manual,1,0,Carlsplatz 1,,1 (11) 500 555-0121,2002-12-19,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1239,521,12238,,Monica,,Raman,False,1941-07-28,M,,F,monica12@adventure-works.com,30000,1,0,Bachelors,Clerical,1,0,Hochstr 2777,,1 (11) 500 555-0113,2004-01-10,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1240,506,12239,,Alberto,,Ramos,False,1942-06-01,M,,M,alberto17@adventure-works.com,30000,1,0,Bachelors,Clerical,1,0,4776 Kentucky Drive,,1 (11) 500 555-0156,2002-09-24,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1241,509,12240,,Clayton,D,Sharma,False,1980-12-04,S,,M,clayton27@adventure-works.com,10000,0,0,Partial College,Manual,0,1,9429 Geraldine Dr,,1 (11) 500 555-0188,2002-06-30,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1242,706,12241,,Kristine,,Sandberg,False,1979-11-06,S,,F,kristine21@adventure-works.com,10000,0,0,Partial College,Manual,0,1,6141 Race Road,,1 (11) 500 555-0182,2002-06-18,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1243,628,12242,,Gilbert,,Liang,False,1979-02-04,S,,M,gilbert14@adventure-works.com,10000,0,0,Partial College,Manual,0,1,4882 Darlene Drive,,1 (11) 500 555-0195,2002-06-18,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1244,632,12243,,Kristy,,Rubio,False,1980-05-18,S,,F,kristy19@adventure-works.com,10000,0,0,Partial College,Manual,0,1,1527 St. John Lane,,1 (11) 500 555-0180,2002-06-26,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1245,679,12244,,Amy,C,Huang,False,1980-11-22,M,,F,amy13@adventure-works.com,20000,0,0,Bachelors,Clerical,1,0,7806 Reliez Valley Ct.,,1 (11) 500 555-0197,2003-08-20,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1246,679,12245,,Francisco,L,Gonzalez,False,1978-11-26,S,,M,francisco20@adventure-works.com,10000,0,0,Partial College,Manual,1,1,626 Redlands Way,,1 (11) 500 555-0118,2002-06-14,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1247,510,12246,,Shawn,,Luo,False,1979-10-12,M,,M,shawn8@adventure-works.com,10000,1,1,High School,Manual,1,0,6365 Sun View Way,,1 (11) 500 555-0178,2002-06-08,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1248,473,12247,,Brandy,,Raman,False,1979-10-18,S,,F,brandy8@adventure-works.com,20000,0,0,Bachelors,Clerical,1,0,30 Rolling Green Circle,,1 (11) 500 555-0142,2003-08-05,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1249,632,12248,,Devin,L,Taylor,False,1978-03-14,S,,M,devin7@adventure-works.com,10000,1,1,High School,Manual,0,0,658 Coastal Blvd,,1 (11) 500 555-0158,2002-06-12,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1250,509,12249,,Jessie,A,Cai,False,1978-09-16,M,,M,jessie27@adventure-works.com,20000,0,0,Bachelors,Clerical,1,0,2429 Brown Street,,1 (11) 500 555-0192,2003-09-30,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1251,596,12250,,Andrea,,Collins,False,1977-04-08,S,,F,andrea26@adventure-works.com,10000,1,1,High School,Manual,0,0,8946 Turning View,,1 (11) 500 555-0151,2002-06-09,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1252,478,12251,,Troy,M,Suri,False,1977-04-09,M,,M,troy0@adventure-works.com,20000,0,0,Partial College,Manual,1,0,5948 Seeno St.,,1 (11) 500 555-0152,2002-06-07,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1253,599,12252,,Omar,L,Liu,False,1977-10-01,M,,M,omar4@adventure-works.com,20000,0,0,Partial College,Manual,0,0,3199 Frayne Ct.,,1 (11) 500 555-0183,2002-06-27,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1254,669,12253,,Jenny,L,Sun,False,1977-02-14,S,,F,jenny15@adventure-works.com,20000,0,0,Partial College,Manual,1,0,6366 Dayton Court,,1 (11) 500 555-0134,2002-06-20,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1255,528,12254,,Calvin,,Deng,False,1943-02-26,S,,M,calvin1@adventure-works.com,20000,1,0,Partial College,Manual,1,0,100, rue des Rosiers,,1 (11) 500 555-0134,2001-09-16,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1256,616,12255,,Robyn,M,Alvarez,False,1961-08-06,S,,F,robyn3@adventure-works.com,20000,1,1,Partial College,Manual,0,0,3, place de la République,,1 (11) 500 555-0157,2001-09-21,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1257,661,12256,,Wendy,,Ramos,False,1961-10-23,M,,F,wendy16@adventure-works.com,20000,1,1,Partial College,Manual,1,0,11, avenue du Président-Kennedy,,1 (11) 500 555-0125,2001-09-30,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1258,586,12257,,Ross,K,Ruiz,False,1961-04-06,M,,M,ross22@adventure-works.com,30000,4,0,Graduate Degree,Clerical,1,0,Im Himmelsweg 89,,1 (11) 500 555-0139,2004-06-07,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1259,482,12258,,Jamie,,Li,False,1961-09-27,M,,F,jamie5@adventure-works.com,30000,4,0,Graduate Degree,Clerical,1,0,Heideweg 1459,,1 (11) 500 555-0188,2004-04-03,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1260,585,12259,,Cindy,R,Madan,False,1961-04-16,M,,F,cindy7@adventure-works.com,30000,4,0,Graduate Degree,Clerical,1,0,1707 Ravenwood Dr.,,1 (11) 500 555-0198,2003-09-04,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1261,608,12260,,Melinda,,Romero,False,1961-05-05,M,,F,melinda4@adventure-works.com,30000,4,0,Graduate Degree,Clerical,1,0,232 Pinnacle Drive,,1 (11) 500 555-0174,2003-08-17,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1262,624,12261,,Kaitlin,,Sanchez,False,1960-10-26,M,,F,kaitlin19@adventure-works.com,10000,1,1,High School,Manual,1,1,8, rue de l´Esplanade,,1 (11) 500 555-0188,2001-10-23,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1263,447,12262,,Morgan,J,Sanchez,False,1960-05-22,M,,F,morgan47@adventure-works.com,20000,1,1,Partial College,Manual,1,0,6467 Buena Vista,,1 (11) 500 555-0166,2003-09-11,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1264,659,12263,,Emmanuel,T,Garcia,False,1960-03-15,S,,M,emmanuel13@adventure-works.com,20000,1,1,Partial College,Manual,0,0,6820 Montego,,1 (11) 500 555-0115,2002-09-29,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1265,659,12264,,Bruce,,Ashe,False,1960-02-21,S,,M,bruce27@adventure-works.com,20000,1,1,Partial College,Manual,0,0,2720 Blue Ridge,,1 (11) 500 555-0191,2002-10-12,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1266,557,12265,,Alan,,Guo,False,1959-07-03,S,,M,alan21@adventure-works.com,10000,1,1,High School,Manual,0,1,7, rue des Ecoles,,1 (11) 500 555-0126,2001-10-27,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1267,674,12266,,Tiffany,,Lin,False,1959-03-17,M,,F,tiffany7@adventure-works.com,20000,2,0,Partial College,Manual,1,1,Marketplatz 775,,1 (11) 500 555-0132,2002-12-18,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1268,503,12267,,Clifford,,Garcia,False,1958-05-10,S,,M,clifford13@adventure-works.com,20000,2,0,Partial College,Manual,1,1,219, rue Descartes,,1 (11) 500 555-0164,2001-10-02,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1269,586,12268,,Edwin,,Shan,False,1958-05-02,M,,M,edwin33@adventure-works.com,30000,1,0,Graduate Degree,Clerical,1,0,Karl Liebknecht str 39,,1 (11) 500 555-0177,2003-10-18,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1270,622,12269,,Warren,F,Zheng,False,1960-06-13,M,,M,warren32@adventure-works.com,30000,3,0,Graduate Degree,Clerical,1,0,80, avenue de Malakoff,,1 (11) 500 555-0156,2003-12-29,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1271,586,12270,,Ebony,,Ramos,False,1960-09-09,S,,F,ebony38@adventure-works.com,30000,3,0,Graduate Degree,Clerical,1,0,Rotthäuser Weg 11,,1 (11) 500 555-0118,2002-12-25,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1272,506,12271,,Tyrone,C,Hernandez,False,1959-09-16,M,,M,tyrone3@adventure-works.com,30000,0,0,Bachelors,Clerical,1,0,4839 Belle Dr,,1 (11) 500 555-0181,2002-10-13,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1273,501,12272,,Justin,M,Alexander,False,1959-12-10,M,,M,justin16@adventure-works.com,40000,3,0,Graduate Degree,Clerical,1,0,3101 Greendell Rd,,1 (11) 500 555-0121,2002-10-04,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1274,640,12273,,Nelson,M,Carlson,False,1958-10-14,M,,M,nelson17@adventure-works.com,30000,1,0,Bachelors,Clerical,1,0,Welt Platz 876,,1 (11) 500 555-0133,2004-02-02,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1275,529,12274,,Javier,R,Torres,False,1970-09-26,S,,M,javier6@adventure-works.com,10000,2,2,High School,Manual,1,0,82, cours Mirabeau,,1 (11) 500 555-0119,2004-04-09,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1276,586,12275,,Adriana,,Madan,False,1970-06-11,S,,F,adriana8@adventure-works.com,20000,0,0,Partial College,Manual,1,1,Herzogstr 3998,,1 (11) 500 555-0126,2003-01-16,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1277,586,12276,,Alisha,,Shan,False,1970-07-13,M,,F,alisha34@adventure-works.com,30000,0,0,Bachelors,Clerical,1,0,Buergermeister-ulrich-str 100,,1 (11) 500 555-0190,2003-01-02,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1278,481,12277,,Beth,A,Ortega,False,1969-04-22,S,,F,beth24@adventure-works.com,10000,2,2,High School,Manual,1,0,4698 Royal Oak Rd.,,1 (11) 500 555-0194,2002-10-16,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1279,747,12278,,Meredith,,Johnsen,False,1969-01-06,S,,F,meredith28@adventure-works.com,10000,2,2,High School,Manual,1,0,Hochstr 8111,,1 (11) 500 555-0115,2003-12-24,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1280,529,12279,,Mathew,,Suarez,False,1970-06-21,M,,M,mathew15@adventure-works.com,30000,0,0,Bachelors,Clerical,1,0,119, quai Paul Doumer,,1 (11) 500 555-0117,2001-11-13,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1281,544,12280,,Theresa,H,Alvarez,False,1970-06-08,M,,F,theresa1@adventure-works.com,30000,0,0,Bachelors,Clerical,0,0,33, allée des Princes,,1 (11) 500 555-0131,2001-11-13,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1282,525,12281,,Janelle,,Sanchez,False,1970-04-23,M,,F,janelle17@adventure-works.com,40000,0,0,Graduate Degree,Clerical,1,0,9809 Baltic Sea Ct,,1 (11) 500 555-0145,2002-10-15,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1283,574,12282,,Nicolas,S,Tang,False,1970-01-07,S,,M,nicolas2@adventure-works.com,40000,0,0,Graduate Degree,Clerical,1,0,4909 Vine Lane,,1 (11) 500 555-0130,2002-10-26,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1284,587,12283,,Todd,C,Zeng,False,1969-08-10,S,,M,todd19@adventure-works.com,20000,0,0,Partial College,Manual,1,1,9215 Hamilton Ave.,,1 (11) 500 555-0195,2002-10-01,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1285,439,12284,,Cristina,J,Beck,False,1969-10-02,M,,F,cristina17@adventure-works.com,30000,0,0,Bachelors,Clerical,0,0,3249 Riverside Drive,,1 (11) 500 555-0156,2002-10-08,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1286,476,12285,,Bethany,,Chande,False,1969-11-28,S,,F,bethany18@adventure-works.com,30000,1,0,Bachelors,Clerical,1,0,4855, rue des Ecoles,,1 (11) 500 555-0130,2001-11-30,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1287,532,12286,,Nathan,M,Jenkins,False,1969-09-06,S,,M,nathan2@adventure-works.com,40000,0,0,Graduate Degree,Skilled Manual,1,0,3093 Roland Drive,,1 (11) 500 555-0123,2002-11-17,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1288,497,12287,,Andre,E,Arun,False,1952-01-01,S,,M,andre6@adventure-works.com,10000,3,0,Partial College,Manual,0,2,4398 Lakewood Court,,1 (11) 500 555-0114,2002-11-30,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1289,532,12288,,Sara,A,Brooks,False,1968-03-24,M,,F,sara2@adventure-works.com,10000,2,2,High School,Manual,0,1,2681 Black Walnut Ct.,,1 (11) 500 555-0186,2004-04-03,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1290,698,12289,,Joseph,T,Taylor,False,1968-03-23,S,,M,joseph15@adventure-works.com,10000,2,2,High School,Manual,1,1,6093 Midway Ct.,,1 (11) 500 555-0138,2002-11-21,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1291,650,12290,,Kaylee,,Morris,False,1968-04-25,S,,F,kaylee15@adventure-works.com,10000,2,2,High School,Manual,1,1,9, quai de l´ Iton,,1 (11) 500 555-0143,2001-11-06,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1292,480,12291,,Johnathan,E,Suri,False,1944-04-19,S,,M,johnathan1@adventure-works.com,90000,5,0,Partial College,Professional,0,2,Heidestieg Straße 8664,,1 (11) 500 555-0113,2003-01-24,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1293,426,12292,,Nicolas,R,Kumar,False,1944-03-24,M,,M,nicolas5@adventure-works.com,130000,3,4,Bachelors,Management,1,3,5703 Rose Dr,,1 (11) 500 555-0177,2002-11-21,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1294,439,12293,,Tammy,A,Garcia,False,1944-05-17,M,,F,tammy15@adventure-works.com,130000,3,4,Bachelors,Management,1,3,5866 Orange St.,,1 (11) 500 555-0164,2003-12-03,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1295,506,12294,,Shane,L,Kovar,False,1944-12-01,M,,M,shane7@adventure-works.com,130000,3,4,Bachelors,Management,1,4,5194 Mendouno Dr,,1 (11) 500 555-0186,2003-11-23,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1296,621,12295,,Dwayne,,Gomez,False,1945-03-21,S,,M,dwayne1@adventure-works.com,60000,3,1,Partial High School,Skilled Manual,1,4,33, allée des Princes,,1 (11) 500 555-0113,2003-08-16,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1297,503,12296,,Francisco,A,Sara,False,1945-02-15,M,,M,francisco11@adventure-works.com,70000,5,1,High School,Professional,0,2,24, rue Descartes,,1 (11) 500 555-0166,2001-11-19,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1298,483,12297,,Felicia,,Blanco,False,1945-01-08,S,,F,felicia15@adventure-works.com,80000,5,0,Partial College,Professional,0,2,Kurfürstenstr 599,,1 (11) 500 555-0130,2003-02-13,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1299,517,12298,,Crystal,,Zeng,False,1945-05-21,S,,F,crystal1@adventure-works.com,90000,5,0,Partial College,Professional,0,2,Auf Der Steige 6,,1 (11) 500 555-0184,2003-02-22,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1300,705,12299,,Walter,G,Serrano,False,1945-06-10,M,,M,walter9@adventure-works.com,150000,3,4,Graduate Degree,Management,0,4,2761 Pinecreek Way,,1 (11) 500 555-0176,2002-11-10,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1301,616,12300,,Adriana,L,Gonzalez,False,1946-07-18,S,,F,adriana19@adventure-works.com,80000,5,0,Partial College,Professional,1,2,310, rue des Rosiers,,1 (11) 500 555-0129,2001-11-24,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1302,545,12301,,Nichole,,Nara,False,1946-12-05,S,,F,nichole16@adventure-works.com,100000,2,3,Bachelors,Management,1,4,21, avenue de la Gare,,1 (11) 500 555-0152,2001-11-10,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
1303,483,12302,,Kevin,,Coleman,False,1946-03-02,M,,M,kevin9@adventure-works.com,100000,2,3,Bachelors,Management,0,4,Reiherweg 5,,1 (11) 500 555-0167,2003-02-24,Person,,1,2009-10-01 00:00:00,2009-10-01 00:00:00
